186,176,290,320,0
190.62,166,300.75,322.14,0
192.53,164.13,304.94,322.11,0
192.82,162.94,306.1,322.4,0
192.54,159.88,306.08,320.71,0
192.5,156.98,306.12,318.96,0
191.54,146.58,305.54,309.35,0
191.6,145.33,305.83,306.57,0
180.5,143.71,294.97,303.58,0
176.06,144.73,290.9,302.83,0
174.83,143.73,288.88,305.09,0
174.56,143.54,288.83,308.1,0
174.55,155.44,288.84,318.68,0
174.6,157.87,288.8,323.58,0
164.87,161.75,287.95,336.52,0
160.72,164.61,287.92,340.67,0
155.1,174.61,274.18,337.94,0
155.02,175.66,270.15,337.08,0
141.42,177.53,256.02,338.69,0
137.64,178.84,250.68,340.24,0
125.28,183.99,246.58,355.13,0
121.62,194.58,238.59,357.25,0
119.57,207.61,235.11,368.43,0
120.85,210.1,235.68,369.69,0
122.63,216.1,235.96,374.64,0
123.52,216.38,234.43,373.88,0
125.7,215.17,237.77,371.18,0
125.51,214.28,238.91,371.16,0
137.95,210.82,251.72,368.38,0
140.84,210.69,255.09,368.49,0
154.59,204.03,267.1,359.79,0
158.61,201.66,270.44,357.24,0
171.9,201.35,284.55,355.45,0
174.89,201.14,286.7,355.39,0
178.01,199.28,291.09,353.07,0
177.56,199.07,291.51,353.28,0
190.51,198.87,304.03,349.72,0
193.68,199.36,304.61,344,0
214.5,204.69,305.15,320.89,0
216.56,202.04,300.97,308.46,0
NaN,NaN,NaN,NaN,0
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
233.15,248.62,325.01,386.91,1
232.11,249.89,337.78,408.89,1
238,267,336,414,0
232.11,267.67,337.78,426.67,1
229.8,267.97,340.76,423.97,0
228.91,283.85,341.94,439.26,0
228.61,285.59,342.54,441.62,0
228.01,302.35,342.55,457.76,0
228.02,302.93,342.83,460.12,0
228.44,319.64,343.02,474.99,0
228.05,322.96,342.8,477.71,0
240.56,338.73,343.95,480.93,0
243.03,338.94,344.83,480.5,0
244.53,344.06,344.51,479.9,0
245.42,344.04,345.7,479.32,0
246.6,342.49,346.43,477.13,0
246.6,342.22,346.67,477.48,0
247.7,327.76,355.96,475.17,0
247.41,325.35,358.96,474.22,0
246.81,308,360.15,459.57,0
246.51,305.34,360.17,457.74,0
255,299,357,452,0
249.89,285.44,355.56,444.44,1
NaN,NaN,NaN,NaN,1
579,204,640,295.5,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
249.89,214.33,355.56,373.33,1
244.01,227.69,359.76,364.17,0
243.67,238.24,349.85,349.45,0
230,221.49,340.88,340.22,0
229.03,185.54,340.63,337.09,0
225.5,174.97,330.72,319.13,0
214.57,167.32,324.85,320.26,0
210.5,159.58,314.13,303.23,0
199.62,157.49,300.64,296.49,0
197.06,153.6,297.58,296.19,0
191.84,148.6,298.18,294.76,0
181.6,148.47,291.76,294.84,0
176.43,147.29,286.36,293.41,0
175.61,146.7,284.79,293.38,0
178.8,151.53,278.86,290.01,0
180.9,152.83,277,288.84,0
171.95,156.27,269.78,288.53,0
169.58,156.23,266.04,288.33,0
168.97,156.21,263.08,286.48,0
169.75,156.06,263.19,284.9,0
170.52,145.97,264.8,280.68,0
170.55,143.41,265.64,281.06,0
180.72,138.83,272.17,267.38,0
185.88,138.05,275.15,262.35,0
186.75,133.44,279.47,266.33,0
184.44,132.11,281.86,262.47,0
184.23,136.53,282.99,268.86,0
184.34,139.06,283.18,269.98,0
184.33,140.25,283.18,271.22,0
185.08,143.55,283.93,271.21,0
186.23,145.41,285.84,272.02,0
186.14,146.26,284.68,273.28,0
186.14,143.56,284.08,272.98,0
186.44,143.85,284.06,273.59,0
186.14,144.15,283.75,273.9,0
187.04,144.15,284.06,274.19,0
187.33,145.66,284.07,273.89,0
187.88,144.25,284.2,274.52,0
194.78,148.63,286.73,271.14,0
198.1,151.92,288.51,272.02,0
198.61,155.15,295.04,282.65,0
199.83,159.03,298.65,288.8,0
199.83,159.94,299.85,290.58,0
201.63,169.72,300.85,300.27,0
202.23,173.05,300.17,303.36,0
209.41,184.44,301.61,308.86,0
213.63,186.81,310.89,318.38,0
214.44,191.5,313.54,322.47,0
214.72,203.43,315.07,333.14,0
225,197,317,335,0
217.67,217.67,309.53,355.96,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
NaN,NaN,NaN,NaN,1
577,212,638,303.5,1
567,220,639,328,1
217.67,264.1,309.53,402.39,1
216.96,266.6,308.88,404.77,0
217.67,264.1,309.53,402.39,1
214.75,277.78,311.79,409.9,0
213.85,281.77,312.95,412.43,0
213.55,285.25,312.88,415.75,0
213.41,285.35,312.91,417.12,0
212.66,294.45,305.62,417.98,0
212.46,298.5,301.94,420.59,0
211.89,298.21,301.1,421.46,0
211.89,299.11,300.8,421.46,0
212.49,299.41,301.1,421.46,0
212.78,300.31,301.7,421.46,0
